ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
50385,Hugo Hoyama,M,31.0,170.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Doubles,
50385,Hugo Hoyama,M,35.0,170.0,66.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,
50385,Hugo Hoyama,M,35.0,170.0,66.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,
50385,Hugo Hoyama,M,39.0,170.0,66.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Team,
50385,Hugo Hoyama,M,43.0,170.0,66.0,Brazil,BRA,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Singles,
50385,Hugo Hoyama,M,43.0,170.0,66.0,Brazil,BRA,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Team,
50745,Diogo Kent Hubner,M,33.0,183.0,93.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
50822,"Marcelo ""Marcelinho"" Tieppo Huertas",M,29.0,191.0,90.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
50822,"Marcelo ""Marcelinho"" Tieppo Huertas",M,33.0,191.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
50943,Fabiane Mayumi Hukuda,F,23.0,156.0,52.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,
50948,"Givanildo ""Hulk"" Vieira de Souza",M,26.0,180.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
50981,Humberto Barbosa Tozzi,M,20.0,,,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
50982,Humberto Andr Redes Filho,M,19.0,,,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,
51456,Daniele Matias Hyplito,F,16.0,147.0,51.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,
51456,Daniele Matias Hyplito,F,16.0,147.0,51.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,
51456,Daniele Matias Hyplito,F,16.0,147.0,51.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,
51456,Daniele Matias Hyplito,F,16.0,147.0,51.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,
51456,Daniele Matias Hyplito,F,16.0,147.0,51.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,
51456,Daniele Matias Hyplito,F,19.0,147.0,51.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,
51456,Daniele Matias Hyplito,F,19.0,147.0,51.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,
51456,Daniele Matias Hyplito,F,19.0,147.0,51.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,
51456,Daniele Matias Hyplito,F,19.0,147.0,51.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,
51456,Daniele Matias Hyplito,F,19.0,147.0,51.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,
51456,Daniele Matias Hyplito,F,19.0,147.0,51.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,
51456,Daniele Matias Hyplito,F,23.0,147.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,
51456,Daniele Matias Hyplito,F,23.0,147.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,
51456,Daniele Matias Hyplito,F,23.0,147.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,
51456,Daniele Matias Hyplito,F,23.0,147.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,
51456,Daniele Matias Hyplito,F,23.0,147.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
51456,Daniele Matias Hyplito,F,27.0,147.0,51.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,
51456,Daniele Matias Hyplito,F,27.0,147.0,51.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,
51456,Daniele Matias Hyplito,F,27.0,147.0,51.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,
51456,Daniele Matias Hyplito,F,27.0,147.0,51.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,
51456,Daniele Matias Hyplito,F,27.0,147.0,51.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,
51456,Daniele Matias Hyplito,F,31.0,147.0,51.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
51456,Daniele Matias Hyplito,F,31.0,147.0,51.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
51456,Daniele Matias Hyplito,F,31.0,147.0,51.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,
51457,Diego Matias Hyplito,M,22.0,170.0,68.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
51457,Diego Matias Hyplito,M,22.0,170.0,68.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
51457,Diego Matias Hyplito,M,26.0,170.0,68.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,
51457,Diego Matias Hyplito,M,30.0,170.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,
